transaction_id,agent_id,policy_id,transaction_type,transaction_date,commission_rate,commission_amount_shareholders_fund
AGX00001655,AGT0066,POL0001525,Renewal,2026-01-04,0.05,89.45
AGX00001656,AGT0066,POL0000786,Renewal,2026-02-20,0.08,104.89
AGX00001657,AGT0060,POL0002411,New Business,2024-12-17,0.14,259.23
AGX00001658,AGT0089,POL0001783,Renewal,2026-09-11,0.22,26.01
AGX00001659,AGT0121,POL0001083,New Business,2026-08-19,0.23,413.27
AGX00001660,AGT0024,POL0000924,New Business,2024-01-27,0.11,189.21
AGX00001661,AGT0024,POL0000184,New Business,2026-04-05,0.06,33.6
AGX00001662,AGT0078,POL0004746,Renewal,2026-09-05,0.12,46.48
AGX00001663,AGT0096,POL0002875,New Business,2025-11-06,0.12,230.36
AGX00001664,AGT0139,POL0004317,Renewal,2025-07-15,0.12,19.12
AGX00001665,AGT0078,POL0000932,New Business,2026-05-05,0.07,112.73
AGX00001666,AGT0133,POL0004629,New Business,2023-07-20,0.19,162.82
AGX00001667,AGT0035,POL0000842,Renewal,2025-06-21,0.17,269.6
AGX00001668,AGT0117,POL0004630,Renewal,2026-01-07,0.18,144.48
AGX00001669,AGT0147,POL0003663,Renewal,2026-07-02,0.14,117.07
AGX00001670,AGT0107,POL0001605,New Business,2026-04-19,0.22,308.11
AGX00001671,AGT0058,POL0004171,New Business,2026-07-21,0.16,24.4
AGX00001672,AGT0134,POL0000097,Renewal,2025-12-20,0.08,108.36
AGX00001673,AGT0041,POL0003215,New Business,2026-04-14,0.2,359.68
AGX00001674,AGT0085,POL0002961,Renewal,2024-09-13,0.06,86.05
AGX00001675,AGT0080,POL0003778,Renewal,2026-05-03,0.08,10.72
AGX00001676,AGT0083,POL0002052,New Business,2023-07-05,0.13,171.76
AGX00001677,AGT0085,POL0002672,Renewal,2026-01-08,0.25,143.91
AGX00001678,AGT0064,POL0001630,Renewal,2022-08-07,0.16,204.98
AGX00001679,AGT0001,POL0001123,Renewal,2025-08-28,0.06,44.91
AGX00001680,AGT0139,POL0001403,Renewal,2026-08-23,0.11,31.66
AGX00001681,AGT0143,POL0000119,Renewal,2025-12-22,0.08,22.36
AGX00001682,AGT0125,POL0004938,Renewal,2026-02-05,0.23,23.56
AGX00001683,AGT0129,POL0001184,Renewal,2026-04-21,0.07,134.2
AGX00001684,AGT0001,POL0001618,Renewal,2025-05-22,0.08,123.55
AGX00001685,AGT0041,POL0001511,New Business,2025-03-27,0.23,16.38
AGX00001686,AGT0073,POL0000136,New Business,2025-06-27,0.21,54.73
AGX00001687,AGT0041,POL0003215,New Business,2025-02-11,0.18,323.71
AGX00001688,AGT0043,POL0000445,Renewal,2026-04-29,0.15,118.65
AGX00001689,AGT0150,POL0003843,New Business,2023-12-30,0.07,84.24
AGX00001690,AGT0135,POL0000461,Renewal,2025-02-08,0.05,45.27
AGX00001691,AGT0125,POL0003748,New Business,2025-04-25,0.12,161.85
AGX00001692,AGT0025,POL0001623,Renewal,2026-01-13,0.23,423.44
AGX00001693,AGT0008,POL0000624,Renewal,2025-11-23,0.05,4.23
AGX00001694,AGT0057,POL0000228,New Business,2024-11-18,0.14,208.91
AGX00001695,AGT0131,POL0004796,Renewal,2023-06-02,0.09,74.01
AGX00001696,AGT0016,POL0002999,New Business,2024-11-06,0.2,112.83
AGX00001697,AGT0024,POL0004633,New Business,2026-05-06,0.09,14.67
AGX00001698,AGT0024,POL0004420,Renewal,2025-06-21,0.16,77.6
AGX00001699,AGT0059,POL0001481,Renewal,2026-03-28,0.07,100.04
AGX00001700,AGT0131,POL0000944,New Business,2026-07-01,0.09,73.85
AGX00001701,AGT0003,POL0000362,Renewal,2025-05-04,0.06,34.82
AGX00001702,AGT0008,POL0001555,New Business,2024-02-06,0.22,312.3
AGX00001703,AGT0001,POL0001060,Renewal,2025-08-03,0.08,138.1
AGX00001704,AGT0050,POL0002281,Renewal,2022-11-09,0.25,55.73
AGX00001705,AGT0074,POL0004579,Renewal,2026-08-13,0.18,79.58
AGX00001706,AGT0111,POL0000277,New Business,2024-05-29,0.11,127.98
AGX00001707,AGT0146,POL0003646,Renewal,2025-02-05,0.08,30.92
AGX00001708,AGT0019,POL0002038,Renewal,2026-07-17,0.08,27.24
AGX00001709,AGT0045,POL0000686,New Business,2022-06-16,0.25,418.95
AGX00001710,AGT0026,POL0002207,Renewal,2025-06-10,0.08,97.1
AGX00001711,AGT0032,POL0004461,Renewal,2026-09-06,0.09,156.64
AGX00001712,AGT0036,POL0001330,Renewal,2026-08-03,0.19,20.0
AGX00001713,AGT0079,POL0002621,New Business,2024-01-05,0.16,287.64
AGX00001714,AGT0014,POL0000800,Renewal,2021-06-23,0.23,426.43
AGX00001715,AGT0014,POL0000831,Renewal,2026-08-09,0.22,203.84
AGX00001716,AGT0138,POL0002225,Renewal,2025-09-18,0.07,25.84
AGX00001717,AGT0145,POL0000470,Renewal,2025-04-07,0.11,183.56
AGX00001718,AGT0122,POL0001191,New Business,2026-04-15,0.08,143.5
AGX00001719,AGT0121,POL0001083,New Business,2026-06-08,0.11,197.65
AGX00001720,AGT0109,POL0004342,Renewal,2026-03-08,0.08,69.85
AGX00001721,AGT0016,POL0002777,Renewal,2026-08-02,0.08,70.27
AGX00001722,AGT0110,POL0004697,New Business,2026-07-10,0.24,441.71
AGX00001723,AGT0066,POL0002238,New Business,2026-02-01,0.14,55.09
AGX00001724,AGT0111,POL0000862,New Business,2026-09-03,0.24,479.06
AGX00001725,AGT0051,POL0003575,New Business,2025-09-05,0.09,67.91
AGX00001726,AGT0080,POL0003343,Renewal,2024-05-30,0.11,89.69
AGX00001727,AGT0072,POL0003514,New Business,2026-05-02,0.2,163.35
AGX00001728,AGT0060,POL0004185,Renewal,2026-07-23,0.12,209.74
AGX00001729,AGT0022,POL0000285,Renewal,2026-06-21,0.24,128.41
AGX00001730,AGT0096,POL0004391,Renewal,2023-07-12,0.18,81.02
AGX00001731,AGT0031,POL0001791,Renewal,2024-03-27,0.15,138.38
AGX00001732,AGT0078,POL0000306,Renewal,2025-08-29,0.24,369.9
AGX00001733,AGT0122,POL0003213,Renewal,2025-03-23,0.15,71.93
AGX00001734,AGT0074,POL0003593,New Business,2024-11-14,0.11,168.55
AGX00001735,AGT0067,POL0000381,Renewal,2026-03-02,0.22,119.85
AGX00001736,AGT0003,POL0000585,New Business,2026-08-21,0.16,203.46
AGX00001737,AGT0056,POL0003715,Renewal,2021-09-24,0.23,321.59
AGX00001738,AGT0107,POL0000130,New Business,2026-03-27,0.05,10.59
AGX00001739,AGT0111,POL0003216,Renewal,2026-05-16,0.21,92.03
AGX00001740,AGT0063,POL0002357,Renewal,2026-09-09,0.19,51.49
AGX00001741,AGT0104,POL0004296,Renewal,2026-04-24,0.17,31.82
AGX00001742,AGT0135,POL0002740,Renewal,2026-07-11,0.19,302.95
AGX00001743,AGT0095,POL0000069,Renewal,2026-01-24,0.16,40.83
AGX00001744,AGT0105,POL0004650,New Business,2025-11-15,0.18,200.71
AGX00001745,AGT0095,POL0001464,Renewal,2025-03-29,0.1,147.81
AGX00001746,AGT0017,POL0002835,New Business,2022-06-15,0.06,104.12
AGX00001747,AGT0030,POL0004900,New Business,2024-12-23,0.1,91.1
AGX00001748,AGT0108,POL0002568,New Business,2023-12-10,0.19,190.18
AGX00001749,AGT0044,POL0003067,Renewal,2024-12-04,0.16,73.91
AGX00001750,AGT0077,POL0001593,New Business,2024-07-11,0.14,79.2
AGX00001751,AGT0038,POL0004687,Renewal,2026-06-12,0.13,66.07
AGX00001752,AGT0028,POL0002854,New Business,2021-11-17,0.19,368.27
AGX00001753,AGT0131,POL0001952,New Business,2026-09-02,0.22,136.02
AGX00001754,AGT0144,POL0004213,Renewal,2024-10-09,0.07,78.88
AGX00001755,AGT0115,POL0001024,Renewal,2024-09-06,0.23,444.79
AGX00001756,AGT0077,POL0004679,Renewal,2025-12-05,0.13,54.31
AGX00001757,AGT0144,POL0004717,New Business,2024-05-25,0.1,105.67
AGX00001758,AGT0025,POL0000506,New Business,2025-05-19,0.09,54.77
AGX00001759,AGT0124,POL0001343,Renewal,2026-06-27,0.12,71.64
AGX00001760,AGT0089,POL0003961,New Business,2026-06-05,0.24,35.99
AGX00001761,AGT0021,POL0003433,Renewal,2026-08-11,0.17,235.38
AGX00001762,AGT0148,POL0004232,Renewal,2024-11-28,0.07,71.81
AGX00001763,AGT0070,POL0000941,New Business,2026-09-04,0.09,104.65
AGX00001764,AGT0006,POL0002723,Renewal,2026-04-26,0.08,130.93
AGX00001765,AGT0034,POL0000728,Renewal,2025-05-04,0.06,113.61
AGX00001766,AGT0024,POL0002746,Renewal,2025-07-21,0.21,16.38
AGX00001767,AGT0067,POL0000093,Renewal,2024-09-12,0.11,60.8
AGX00001768,AGT0112,POL0002785,New Business,2024-02-05,0.17,252.01
AGX00001769,AGT0087,POL0003938,Renewal,2026-03-29,0.07,87.75
AGX00001770,AGT0140,POL0001678,Renewal,2025-06-01,0.12,160.68
AGX00001771,AGT0101,POL0000646,Renewal,2025-08-27,0.16,137.88
AGX00001772,AGT0100,POL0004445,New Business,2026-08-07,0.2,133.0
AGX00001773,AGT0052,POL0000232,New Business,2024-05-19,0.08,138.48
AGX00001774,AGT0131,POL0004009,Renewal,2025-05-15,0.05,62.28
AGX00001775,AGT0014,POL0003520,Renewal,2023-12-24,0.16,168.24
AGX00001776,AGT0010,POL0003986,New Business,2023-02-20,0.08,52.84
AGX00001777,AGT0064,POL0000593,Renewal,2026-07-19,0.12,192.56
AGX00001778,AGT0139,POL0004094,Renewal,2024-01-27,0.21,165.32
AGX00001779,AGT0002,POL0001001,Renewal,2022-07-06,0.17,152.07
AGX00001780,AGT0028,POL0002399,New Business,2023-01-24,0.15,49.7
AGX00001781,AGT0006,POL0003767,Renewal,2022-01-02,0.16,315.74
AGX00001782,AGT0113,POL0004131,New Business,2022-06-27,0.24,236.34
AGX00001783,AGT0136,POL0000703,Renewal,2022-09-20,0.16,225.96
AGX00001784,AGT0043,POL0002660,Renewal,2022-04-25,0.09,68.66
AGX00001785,AGT0022,POL0000857,Renewal,2026-04-12,0.09,116.15
AGX00001786,AGT0121,POL0001046,Renewal,2026-01-10,0.16,233.56
AGX00001787,AGT0141,POL0002241,New Business,2026-08-18,0.08,140.85
AGX00001788,AGT0071,POL0003724,Renewal,2023-07-11,0.21,82.96
AGX00001789,AGT0005,POL0004932,New Business,2025-10-23,0.06,119.37
AGX00001790,AGT0146,POL0003524,Renewal,2022-02-23,0.13,165.19
AGX00001791,AGT0127,POL0002615,Renewal,2025-10-16,0.08,118.66
AGX00001792,AGT0145,POL0003964,Renewal,2025-12-01,0.21,26.5
AGX00001793,AGT0074,POL0000386,Renewal,2026-08-14,0.08,99.67
AGX00001794,AGT0082,POL0004134,New Business,2026-05-18,0.21,22.01
AGX00001795,AGT0017,POL0000715,New Business,2025-07-05,0.08,32.69
AGX00001796,AGT0058,POL0001804,New Business,2026-06-13,0.24,383.74
AGX00001797,AGT0015,POL0000294,New Business,2024-01-10,0.15,225.35
AGX00001798,AGT0015,POL0001761,Renewal,2025-06-26,0.05,97.46
AGX00001799,AGT0067,POL0001648,Renewal,2024-04-20,0.06,50.74
AGX00001800,AGT0128,POL0003884,New Business,2026-02-22,0.24,120.86
AGX00001801,AGT0147,POL0001102,New Business,2023-07-26,0.14,253.64
AGX00001802,AGT0113,POL0003671,New Business,2024-09-20,0.23,12.86
AGX00001803,AGT0021,POL0002625,New Business,2026-01-18,0.16,91.32
AGX00001804,AGT0144,POL0002945,New Business,2025-10-30,0.08,47.82
AGX00001805,AGT0065,POL0003678,New Business,2026-04-24,0.1,166.92
AGX00001806,AGT0100,POL0004265,New Business,2026-06-26,0.25,424.37
AGX00001807,AGT0080,POL0001599,New Business,2026-07-20,0.09,126.94
AGX00001808,AGT0022,POL0002155,New Business,2023-02-03,0.16,105.62
AGX00001809,AGT0143,POL0004552,Renewal,2026-03-03,0.07,113.22
AGX00001810,AGT0086,POL0000969,Renewal,2026-07-13,0.11,24.6
AGX00001811,AGT0112,POL0001213,Renewal,2026-04-18,0.1,158.59
AGX00001812,AGT0125,POL0002921,Renewal,2024-09-29,0.21,231.93
AGX00001813,AGT0057,POL0000013,Renewal,2025-04-27,0.15,195.78
AGX00001814,AGT0039,POL0004067,New Business,2026-02-26,0.14,206.83
AGX00001815,AGT0037,POL0003610,Renewal,2025-01-14,0.07,105.21
AGX00001816,AGT0087,POL0000138,New Business,2024-04-02,0.07,33.75
AGX00001817,AGT0057,POL0001122,New Business,2023-09-01,0.16,288.47
AGX00001818,AGT0145,POL0002408,Renewal,2025-10-22,0.21,139.27
AGX00001819,AGT0099,POL0001262,New Business,2026-02-15,0.18,74.5
AGX00001820,AGT0136,POL0004200,Renewal,2021-10-16,0.13,62.47
AGX00001821,AGT0017,POL0000715,New Business,2024-12-24,0.06,24.52
AGX00001822,AGT0002,POL0003789,Renewal,2025-06-10,0.13,189.3
AGX00001823,AGT0063,POL0000298,New Business,2022-03-07,0.12,209.9
AGX00001824,AGT0008,POL0000264,New Business,2025-07-17,0.18,243.1
AGX00001825,AGT0019,POL0001512,New Business,2024-01-22,0.19,341.24
AGX00001826,AGT0088,POL0002997,Renewal,2022-10-23,0.24,185.59
AGX00001827,AGT0086,POL0003238,Renewal,2024-07-19,0.17,185.62
AGX00001828,AGT0038,POL0004775,Renewal,2025-06-01,0.16,200.22
AGX00001829,AGT0060,POL0000599,Renewal,2024-09-25,0.24,117.13
AGX00001830,AGT0074,POL0001445,Renewal,2026-05-29,0.09,154.5
AGX00001831,AGT0053,POL0003686,New Business,2026-07-24,0.14,30.45
AGX00001832,AGT0083,POL0003737,Renewal,2026-06-28,0.23,374.54
AGX00001833,AGT0031,POL0003275,Renewal,2025-05-31,0.09,136.23
AGX00001834,AGT0103,POL0003876,Renewal,2026-08-07,0.07,9.7
AGX00001835,AGT0121,POL0000363,New Business,2026-01-25,0.18,123.69
AGX00001836,AGT0016,POL0002280,Renewal,2025-11-10,0.1,107.95
AGX00001837,AGT0026,POL0004441,New Business,2026-06-02,0.15,55.76
AGX00001838,AGT0100,POL0004075,New Business,2025-01-10,0.17,289.12
AGX00001839,AGT0139,POL0000700,Renewal,2025-06-06,0.23,370.94
AGX00001840,AGT0141,POL0004578,New Business,2022-07-20,0.2,261.9
AGX00001841,AGT0145,POL0004340,Renewal,2023-06-17,0.13,240.34
AGX00001842,AGT0131,POL0003365,Renewal,2026-02-27,0.2,81.97
AGX00001843,AGT0090,POL0003839,New Business,2022-01-30,0.06,111.93
AGX00001844,AGT0103,POL0004867,New Business,2024-03-22,0.07,28.05
AGX00001845,AGT0021,POL0001535,Renewal,2026-08-29,0.2,260.2
AGX00001846,AGT0071,POL0004272,New Business,2026-04-30,0.08,122.23
AGX00001847,AGT0047,POL0001108,New Business,2026-09-10,0.19,17.99
AGX00001848,AGT0144,POL0000615,New Business,2024-08-11,0.23,141.19
AGX00001849,AGT0144,POL0001167,Renewal,2025-01-08,0.1,134.67
AGX00001850,AGT0033,POL0004971,New Business,2022-10-06,0.2,253.96
AGX00001851,AGT0093,POL0004083,Renewal,2025-05-26,0.18,104.07
AGX00001852,AGT0146,POL0004161,New Business,2024-08-20,0.14,81.38
AGX00001853,AGT0062,POL0001910,Renewal,2022-12-26,0.07,15.03
AGX00001854,AGT0015,POL0001761,Renewal,2025-04-04,0.14,272.88
AGX00001855,AGT0029,POL0004585,New Business,2024-11-25,0.2,158.03
AGX00001856,AGT0098,POL0003230,New Business,2022-12-21,0.11,182.95
AGX00001857,AGT0090,POL0003627,New Business,2026-04-22,0.16,32.49
AGX00001858,AGT0032,POL0004169,New Business,2024-03-04,0.13,63.72
AGX00001859,AGT0111,POL0000420,New Business,2025-03-18,0.08,53.88
AGX00001860,AGT0120,POL0003802,Renewal,2022-05-05,0.11,92.63
AGX00001861,AGT0112,POL0001874,Renewal,2025-12-06,0.23,278.15
AGX00001862,AGT0035,POL0002907,New Business,2025-01-15,0.13,117.47
AGX00001863,AGT0079,POL0003347,Renewal,2023-10-14,0.2,233.44
AGX00001864,AGT0043,POL0000400,Renewal,2026-03-03,0.21,226.21
AGX00001865,AGT0073,POL0002877,Renewal,2023-07-20,0.05,43.87
AGX00001866,AGT0083,POL0001799,Renewal,2026-06-11,0.24,303.05
AGX00001867,AGT0071,POL0001358,Renewal,2026-06-06,0.18,331.26
AGX00001868,AGT0099,POL0003483,Renewal,2024-11-25,0.06,48.81
AGX00001869,AGT0131,POL0003582,New Business,2026-08-18,0.24,76.68
AGX00001870,AGT0095,POL0001977,New Business,2025-11-07,0.05,69.18
AGX00001871,AGT0028,POL0003125,Renewal,2024-10-12,0.24,118.18
AGX00001872,AGT0089,POL0001013,New Business,2026-02-21,0.07,10.11
AGX00001873,AGT0030,POL0001493,New Business,2025-01-27,0.11,66.56
AGX00001874,AGT0124,POL0000290,Renewal,2023-11-29,0.13,118.71
AGX00001875,AGT0129,POL0000758,Renewal,2023-09-23,0.24,285.25
AGX00001876,AGT0061,POL0000594,New Business,2026-09-06,0.23,344.18
AGX00001877,AGT0141,POL0000543,Renewal,2026-08-31,0.17,30.93
AGX00001878,AGT0150,POL0002855,Renewal,2025-06-10,0.24,445.01
AGX00001879,AGT0067,POL0003233,New Business,2024-03-30,0.09,52.09
AGX00001880,AGT0111,POL0004711,Renewal,2025-12-02,0.07,23.69
AGX00001881,AGT0081,POL0002971,New Business,2023-12-14,0.11,41.6
AGX00001882,AGT0101,POL0000257,Renewal,2026-02-23,0.13,223.16
AGX00001883,AGT0095,POL0004135,Renewal,2023-04-29,0.1,38.91
AGX00001884,AGT0021,POL0004866,New Business,2026-01-14,0.15,126.78
AGX00001885,AGT0087,POL0002384,New Business,2026-08-30,0.1,138.81
AGX00001886,AGT0130,POL0002250,Renewal,2024-07-28,0.05,14.31
AGX00001887,AGT0033,POL0001180,Renewal,2026-07-25,0.07,97.94
AGX00001888,AGT0125,POL0003469,New Business,2021-07-02,0.14,195.62
AGX00001889,AGT0017,POL0002404,New Business,2025-12-24,0.13,124.1
AGX00001890,AGT0058,POL0000139,Renewal,2023-10-16,0.17,115.3
AGX00001891,AGT0092,POL0001367,New Business,2026-02-16,0.06,28.34
AGX00001892,AGT0039,POL0002189,New Business,2026-09-02,0.2,87.49
AGX00001893,AGT0092,POL0002396,Renewal,2026-03-15,0.14,109.66
AGX00001894,AGT0001,POL0003005,Renewal,2026-09-03,0.1,163.33
AGX00001895,AGT0148,POL0004378,New Business,2025-07-08,0.06,3.21
AGX00001896,AGT0080,POL0001599,Renewal,2022-08-01,0.12,169.26
AGX00001897,AGT0125,POL0003748,Renewal,2024-08-11,0.16,215.8
AGX00001898,AGT0039,POL0004444,Renewal,2026-05-11,0.06,36.79
AGX00001899,AGT0144,POL0003810,Renewal,2026-07-18,0.23,23.34
AGX00001900,AGT0092,POL0000417,Renewal,2023-07-14,0.18,96.56
AGX00001901,AGT0095,POL0003962,Renewal,2026-05-23,0.06,69.05
AGX00001902,AGT0112,POL0002416,Renewal,2021-12-04,0.12,86.6
AGX00001903,AGT0113,POL0003374,New Business,2025-09-21,0.23,346.02
AGX00001904,AGT0066,POL0000947,Renewal,2024-03-30,0.17,49.94
AGX00001905,AGT0013,POL0004972,Renewal,2023-10-04,0.22,355.33
AGX00001906,AGT0034,POL0003570,New Business,2025-10-01,0.21,326.59
AGX00001907,AGT0114,POL0004120,Renewal,2022-06-10,0.1,61.97
AGX00001908,AGT0102,POL0000469,New Business,2026-05-11,0.16,208.1
AGX00001909,AGT0129,POL0002144,Renewal,2022-03-18,0.21,252.38
AGX00001910,AGT0060,POL0000531,New Business,2026-04-10,0.16,110.95
AGX00001911,AGT0095,POL0001939,Renewal,2025-02-12,0.06,102.24
AGX00001912,AGT0010,POL0001374,New Business,2025-06-28,0.07,28.07
AGX00001913,AGT0090,POL0003137,Renewal,2026-08-08,0.24,44.34
AGX00001914,AGT0032,POL0002293,Renewal,2023-06-10,0.2,53.51
AGX00001915,AGT0057,POL0000131,Renewal,2025-02-16,0.07,83.73
AGX00001916,AGT0006,POL0001723,Renewal,2024-12-12,0.19,228.39
AGX00001917,AGT0111,POL0002388,New Business,2026-08-13,0.21,142.93
AGX00001918,AGT0038,POL0000430,Renewal,2024-12-06,0.13,210.58
AGX00001919,AGT0028,POL0004969,Renewal,2026-03-27,0.24,31.08
AGX00001920,AGT0077,POL0004541,Renewal,2022-06-09,0.22,422.82
AGX00001921,AGT0004,POL0002219,Renewal,2026-06-05,0.23,206.46
AGX00001922,AGT0125,POL0000958,Renewal,2026-04-18,0.2,257.5
AGX00001923,AGT0126,POL0003294,Renewal,2022-03-12,0.14,135.43
AGX00001924,AGT0080,POL0004965,New Business,2024-08-03,0.13,108.74
AGX00001925,AGT0071,POL0001435,Renewal,2025-03-24,0.17,112.55
AGX00001926,AGT0002,POL0004593,New Business,2025-12-19,0.05,49.93
AGX00001927,AGT0001,POL0002100,Renewal,2023-12-08,0.14,233.07
AGX00001928,AGT0012,POL0004574,New Business,2026-08-19,0.09,174.5
AGX00001929,AGT0067,POL0001608,New Business,2024-03-05,0.08,56.14
AGX00001930,AGT0099,POL0001875,Renewal,2026-06-25,0.21,342.73
AGX00001931,AGT0052,POL0001683,Renewal,2026-03-03,0.08,34.01
AGX00001932,AGT0081,POL0002067,Renewal,2025-12-21,0.21,118.42
AGX00001933,AGT0093,POL0004404,Renewal,2026-03-27,0.19,278.44
AGX00001934,AGT0064,POL0002754,New Business,2024-02-04,0.23,253.59
AGX00001935,AGT0144,POL0004909,Renewal,2024-09-17,0.06,63.89
AGX00001936,AGT0134,POL0000293,New Business,2023-03-03,0.18,54.96
AGX00001937,AGT0067,POL0001999,New Business,2025-02-14,0.15,260.74
AGX00001938,AGT0086,POL0002584,New Business,2023-05-25,0.06,97.25
AGX00001939,AGT0110,POL0004963,New Business,2022-02-15,0.21,130.2
AGX00001940,AGT0150,POL0004690,New Business,2024-11-14,0.22,161.21
AGX00001941,AGT0008,POL0000843,Renewal,2024-12-22,0.07,67.82
AGX00001942,AGT0133,POL0000559,New Business,2026-08-23,0.13,139.46
AGX00001943,AGT0095,POL0003140,New Business,2026-01-02,0.19,19.41
AGX00001944,AGT0137,POL0001494,Renewal,2026-07-18,0.19,177.04
AGX00001945,AGT0128,POL0001713,New Business,2026-08-02,0.14,260.92
AGX00001946,AGT0130,POL0004237,New Business,2022-09-10,0.24,101.43
AGX00001947,AGT0125,POL0000645,Renewal,2024-07-01,0.15,161.71
AGX00001948,AGT0071,POL0001358,Renewal,2026-05-17,0.08,147.23
AGX00001949,AGT0052,POL0002476,New Business,2026-06-21,0.13,259.18
AGX00001950,AGT0096,POL0004405,New Business,2023-10-28,0.1,181.14
AGX00001951,AGT0093,POL0000765,New Business,2024-10-11,0.19,164.41
AGX00001952,AGT0079,POL0001521,New Business,2025-06-04,0.1,5.82
AGX00001953,AGT0066,POL0002073,Renewal,2023-03-06,0.24,29.51
AGX00001954,AGT0142,POL0001998,Renewal,2026-01-14,0.14,133.83
AGX00001955,AGT0031,POL0003681,New Business,2026-03-19,0.16,27.66
AGX00001956,AGT0133,POL0003873,New Business,2024-06-04,0.08,45.8
AGX00001957,AGT0149,POL0002955,New Business,2025-01-03,0.07,109.58
AGX00001958,AGT0116,POL0004918,Renewal,2025-05-19,0.11,200.37
AGX00001959,AGT0095,POL0004388,Renewal,2026-03-17,0.09,110.91
AGX00001960,AGT0085,POL0000745,Renewal,2026-07-15,0.12,212.82
AGX00001961,AGT0136,POL0002491,Renewal,2026-01-12,0.14,117.93
AGX00001962,AGT0104,POL0002283,Renewal,2026-01-13,0.17,150.92
AGX00001963,AGT0085,POL0000074,Renewal,2024-02-04,0.09,52.14
AGX00001964,AGT0121,POL0001109,Renewal,2026-05-27,0.16,234.57
AGX00001965,AGT0087,POL0002012,New Business,2025-05-10,0.13,20.4
AGX00001966,AGT0073,POL0004036,Renewal,2026-01-03,0.24,435.37
AGX00001967,AGT0148,POL0001250,Renewal,2025-04-16,0.19,204.19
AGX00001968,AGT0068,POL0004287,Renewal,2025-08-04,0.12,195.45
AGX00001969,AGT0092,POL0002006,Renewal,2024-06-06,0.06,115.88
AGX00001970,AGT0063,POL0000773,Renewal,2025-10-01,0.13,13.91
AGX00001971,AGT0091,POL0001659,New Business,2022-07-21,0.12,232.16
AGX00001972,AGT0106,POL0004214,Renewal,2024-12-12,0.11,68.6
AGX00001973,AGT0044,POL0001259,Renewal,2025-09-05,0.16,189.3
AGX00001974,AGT0135,POL0004514,Renewal,2026-04-01,0.14,125.37
AGX00001975,AGT0014,POL0001982,New Business,2025-03-15,0.09,135.72
AGX00001976,AGT0078,POL0002458,Renewal,2024-01-15,0.21,334.29
AGX00001977,AGT0030,POL0003189,New Business,2026-06-01,0.05,12.18
AGX00001978,AGT0103,POL0003834,Renewal,2025-09-04,0.23,238.19
AGX00001979,AGT0021,POL0001289,Renewal,2023-08-05,0.13,61.38
AGX00001980,AGT0147,POL0000753,New Business,2024-12-12,0.17,254.07
AGX00001981,AGT0003,POL0002195,New Business,2024-11-30,0.18,351.48
AGX00001982,AGT0027,POL0004748,New Business,2023-04-20,0.07,14.36
AGX00001983,AGT0058,POL0002639,Renewal,2026-08-26,0.09,31.75
AGX00001984,AGT0080,POL0004606,Renewal,2026-02-03,0.13,154.16
AGX00001985,AGT0064,POL0002631,New Business,2025-08-22,0.23,128.65
AGX00001986,AGT0041,POL0003167,New Business,2026-09-06,0.25,202.86
AGX00001987,AGT0016,POL0003989,Renewal,2026-08-17,0.06,58.17
AGX00001988,AGT0002,POL0001407,New Business,2025-09-08,0.08,138.34
AGX00001989,AGT0101,POL0003766,Renewal,2026-05-05,0.15,201.89
AGX00001990,AGT0052,POL0000875,Renewal,2024-09-11,0.09,50.48
AGX00001991,AGT0140,POL0004151,New Business,2024-09-04,0.21,412.65
AGX00001992,AGT0101,POL0002739,Renewal,2025-06-16,0.1,164.16
AGX00001993,AGT0139,POL0004264,Renewal,2026-04-17,0.24,283.22
AGX00001994,AGT0127,POL0000253,Renewal,2024-05-01,0.2,162.5
AGX00001995,AGT0033,POL0003416,Renewal,2026-02-26,0.21,267.63
AGX00001996,AGT0114,POL0000922,Renewal,2026-08-08,0.07,97.26
AGX00001997,AGT0049,POL0002466,Renewal,2026-07-25,0.17,95.64
AGX00001998,AGT0041,POL0001373,New Business,2024-03-05,0.22,292.09
AGX00001999,AGT0068,POL0004287,Renewal,2022-06-13,0.17,276.89
AGX00002000,AGT0041,POL0003146,New Business,2023-12-09,0.11,28.73
AGX00002001,AGT0091,POL0003831,New Business,2023-10-26,0.07,57.64
AGX00002002,AGT0098,POL0003993,New Business,2025-11-15,0.05,83.96
AGX00002003,AGT0049,POL0001522,New Business,2023-06-06,0.12,113.75
AGX00002004,AGT0058,POL0003270,Renewal,2026-04-05,0.11,85.71
AGX00002005,AGT0142,POL0001280,Renewal,2024-04-18,0.15,147.75
AGX00002006,AGT0059,POL0002724,New Business,2022-12-13,0.1,88.56
AGX00002007,AGT0100,POL0004075,Renewal,2024-08-11,0.21,357.15
AGX00002008,AGT0066,POL0002070,Renewal,2024-02-25,0.16,296.52
AGX00002009,AGT0023,POL0001178,New Business,2024-01-07,0.07,34.05
AGX00002010,AGT0031,POL0002113,Renewal,2021-03-25,0.2,281.71
AGX00002011,AGT0051,POL0001579,New Business,2025-11-18,0.06,80.8
AGX00002012,AGT0049,POL0002141,Renewal,2026-06-02,0.25,417.38
AGX00002013,AGT0124,POL0002693,Renewal,2023-07-21,0.2,299.01
AGX00002014,AGT0077,POL0001859,Renewal,2025-07-12,0.15,142.29
AGX00002015,AGT0067,POL0003233,Renewal,2026-06-01,0.08,46.3
